,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15
sohu_news,1531,9057,10695,4947,2903,2349,2621
toutiao_video,2431090,2353139,1545088,2173194,1119631,378711,41851
baidu_duanneirong,22982,79875,129794,128087,109509,95024,72109
baidu_news,104532,199797,496710,445462,379875,366333,287330
yangshi_news,31,58,48,41,48,55,67
renmin_news,1601,1415,792,713,1283,1446,1623
weibo_duanneirong,501391,459337,428923,429044,359276,380576,338856
weibo_video,119325,98885,88193,87269,91186,93925,79536
fenghuang_news,12671,12781,11668,6793,10979,12438,12542
dayu_news,1177472,737822,22611,17622,572975,1225984,1086085
sina_news,16470,18104,12699,14075,13859,16680,17486
haokan_video,119925,96013,115132,95804,78475,95741,91937
douyin_video,161628,41999,29198,3773,22093,158,25966
tengxun_news,81565,86205,74592,59625,76622,73119,74184
pengpai_news,410,3227,3334,2523,3146,3334,2843
qiehao_news,96983,65648,0,10,104617,48766,45229
xinhua_news,918,749,864,420,1105,1089,518
toutiao_news,823332,763449,475970,679308,376936,119106,59242
wangyi_news,20081,19871,19475,17087,22464,19226,20872
toutiao_duanneirong,445304,407613,261741,374399,192292,60276,24503
shangyou_news,2171,2117,1265,1042,1701,1846,1900
qiehao_video,534154,283772,122,191,591168,162784,141000
sum,6674036,5731876,3718219,4536482,4129240,3156617,2425679
